explanation,classified_category
"Australia announced (in addition to the 20 Bushmaster protected mobility vehicles reported in AUM4) another aid package that includes anti-armor weapons and ammunition. Since the amount of items sent is not entirely disclosed, we report the monetary value as given by the donor. Source of aid 3 says that Australia provided 306 ""Howitzer and anti-armor weapons"". Since we know that Australia provided 6 howitzers, we assume 300 are anti-armor weapons. This entry records these weapons.",Artillery & Heavy Weapons
"The Australian Government is gifting six M777 155mm lightweight towed howitzers and howitzer ammunition to the Government of Ukraine. Since entire support package is valued at AUD 26.7 million. Source of Aid 1 mentions a total military contribution until April 27 of AUD 225 million. Donation IDs AUM1 to AUM6 report AUD 218.2 million. This is due to Australia providing military aid to Ukraine through the NATO partners, with an undisclosed amount. The difference of AUD 6.8 million between Source of Aid 1 and our data collection until this point is due to this aid through NATO partners, with an undislosed amount (most likely AUD 6.8 million). This entry records the weapons.",Artillery & Heavy Weapons
"The Australian Government is gifting six M777 155mm lightweight towed howitzers and howitzer ammunition to the Government of Ukraine. Since entire support package is valued at AUD 26.7 million. Source of Aid 1 mentions a total military contribution until April 27 of AUD 225 million. Donation IDs AUM1 to AUM6 report AUD 218.2 million. This is due to Australia providing military aid to Ukraine through the NATO partners, with an undisclosed amount. The difference of AUD 6.8 million between Source of Aid 1 and our data collection until this point is due to this aid through NATO partners, with an undislosed amount (most likely AUD 6.8 million). This entry records the weapons.",Artillery & Heavy Weapons
"The Australian Government is providing further support with the gifting of 14 M113 Armored Personnel Carriers (APCs) and a further 20 Bushmaster Protected Mobility Vehicles (PMVs) to the Government of Ukraine. According to Source of Aid 1, the APCs are worth AUD 12 million in total, the PMVs AUD 48.9 million in total. According to Source of Aid 3, this brings the total military contribution of Australia to AUD 285 million. This coincides with the total value recorded here. Source of Aid 3 also mentions that only 4 of the announced 14 M113 have been delivered. However since Source of Delivery states the delivery of the entire package, we assume upper bounds and consider the entire package as being delivered.",Artillery & Heavy Weapons
"The Australian Government is providing further support with the gifting of 14 M113 Armored Personnel Carriers (APCs) and a further 20 Bushmaster Protected Mobility Vehicles (PMVs) to the Government of Ukraine. According to Source of Aid 1, the APCs are worth AUD 12 million in total, the PMVs AUD 48.9 million in total. According to Source of Aid 3, this brings the total military contribution of Australia to AUD 285 million. This coincides with the total value recorded here. Source of Aid 3 also mentions that only 4 of the announced 14 M113 have been delivered. However since Source of Delivery states the delivery of the entire package, we assume upper bounds and consider the entire package as being delivered.",Artillery & Heavy Weapons
"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",Artillery & Heavy Weapons
"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",Artillery & Heavy Weapons
"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",Artillery & Heavy Weapons
"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",Artillery & Heavy Weapons
"The government also announced A$8.7 million (US$6 million) to assist Ukraine’s Border Guard Service to upgrade border management equipment, improve cyber security and enhance border operations in the field.",Financial & Economic Aid
"Deputy Prime Minister Richard Marles declared that Australia will contribute AUD 20 million to NATO's Comprehensive Assistance Package Trust Fund, in addition to the AUD 4.2 million or USD  3 million.",Financial & Economic Aid
The Australian government announced to provide additional 30 Bushmaster protected mobility vehicles to Ukraine (bringing the total number to 90 at the time).,Artillery & Heavy Weapons
"The Australian government announced to provide additional Uncrewed Aerial Systems to Ukraine. Source of Aid 2 and 3 speak of a total package worth of AUD 33 million. Since no further information on the number of items is disclosed, we take this value as donation value. ",Financial & Economic Aid
"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",Financial & Economic Aid
"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",Financial & Economic Aid
"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",Financial & Economic Aid
"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",Financial & Economic Aid
"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",Financial & Economic Aid
Australia will provide 30 additional Bushmaster Protected Mobility Vehicles to Ukraine.,Artillery & Heavy Weapons
"The Australian government announced a new package with a total amount of AUD 20 million, consisting of items sourced from local industry (DroneShield, Micro-X, Minelab, SPEE3D). The package includes de-mining equipment, portable x-ray machines, a 3D metal printer, and counter drone systems. The number and value of specific equipment remains undisclosed, aside from the the portable x-ray machine for which the source indicates a total of 1 unit.",Financial & Economic Aid
"The Australian government announced a new package with a total amount of AUD 20 million, consisting of items sourced from local industry (DroneShield, Micro-X, Minelab, SPEE3D). The package includes de-mining equipment, portable x-ray machines, a 3D metal printer, and counter drone systems. The number and value of specific equipment remains undisclosed, aside from the the portable x-ray machine for which the source indicates a total of 1 unit.",Financial & Economic Aid
"The Australian government announced a new package with a total amount of AUD 20 million, consisting of items sourced from local industry (DroneShield, Micro-X, Minelab, SPEE3D). The package includes de-mining equipment, portable x-ray machines, a 3D metal printer, and counter drone systems. The number and value of specific equipment remains undisclosed, aside from the the portable x-ray machine for which the source indicates a total of 1 unit.",Financial & Economic Aid
"The Australian government announced a new package with a total amount of AUD 20 million, consisting of items sourced from local industry (DroneShield, Micro-X, Minelab, SPEE3D). The package includes de-mining equipment, portable x-ray machines, a 3D metal printer, and counter drone systems. The number and value of specific equipment remains undisclosed, aside from the the portable x-ray machine for which the source indicates a total of 1 unit.",Financial & Economic Aid
"The Australian government will provide a  AUD 50 million grant to the International Fund for Ukraine, directly supporting the procurement of priority military capabilities.",Financial & Economic Aid
"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 30 million towards uncrewed aerial systems which are reported here.",Financial & Economic Aid
"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",Ground Combat
"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",Ground Combat
"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",Ground Combat
"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",Ground Combat
"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",Ground Combat
"In Source 1, the Government of Australia announced $100 million assistance in a new assistance package. This includes AUD 50 million in short range air defence systems, which are reported here.",Financial & Economic Aid
"In Source 1, the Government of Australia announced $100 million assistance in a new assistance package. This the delivery  of an undiclosed number of air-to-ground precision munitions. While their monetary value is not given by the source, there remaining AUD 5 million from this military package is assigned to this delivery. According to source 3, these munitions were likely retired JDAM-ER (BLU-111/Mk. 82), based on the confirmation of their retirement from the Royal Australian Airforce in the Australian Guided Weapons and Explosive Ordnance Plan 2024 at the end of October (source 4).",Ammunition & Explosives
"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defense
"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defense
"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defense
"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defense
"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defense
"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defense
"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defense
"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defense
The Australian Department of Defence has decided to gift 49 of the retiring M1A1 Abrams fleet to Ukraine. The package is worth around AUD 245 million.,Financial & Economic Aid
"The Australian Department of Defence has announced that it will gift 14 rigid hull inflatable boats to Ukraine. The package is valued at AUD 14 million. According to the Royal Australian Navy, the boats in stock are Juliet 3 type by Zodiac.",Financial & Economic Aid
"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Training & Logistics & Support
"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Training & Logistics & Support
"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Training & Logistics & Support
"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Training & Logistics & Support
"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Training & Logistics & Support
"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Training & Logistics & Support
"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Training & Logistics & Support
"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",Training & Logistics & Support
"The minister of foreign affairs announced to provide additional EUR41.9 million in financial assistance for humanitarian projects. Note that this is tied to an equal amount that has been donated by the general public (another EUR41.9 million). As outlined by ""Source of Aid 2"", at least EUR15 million of this announced sum is devoted to projects for women and children. Furthermore, it is reported that EUR5 million are devoted to refugees in Moldova. Additionally, Source of Aid 2 reports that Austria already provided EUR17.5 million in aid to the Red Cross and other NGOs and also contributed EUR10 million financial assistance to the World Bank’s Ukraine assistance programme. Hence, we substract the EUR5 million going to Moldova, add the EUR17.5 million for NGOs and count EUR54.4 million as direct aid to Ukraine. We report the financial assistance amounting to EUR10 million EUR in ATF1.",Financial & Economic Aid
"Austria has sent 20 ambulances to Ukraine, following a commitment from the Chancellor. Note that ""Source of Aid 1"" also lists 16 other ambulances, provided by the city of Vienna, which gives a total of 36 ambulances provided by Austria. According to Source of Aid 1, the Austrian Development Agency paid for the package. Therefore, we assume that it is part of the budget of ATH2.",Financial & Economic Aid
"In Source of Aid 4, the ""Framework Agreement between Ukraine and Austria on Economic Cooperation in Project Development,"" the Austrian government government agrees to guarantee loans from ""Export credit agencies"" to finance projects for reconstruction of social and educational infrastructure. The agreement sets conditions for future projects, which will be determined by a Joint Working Group and implemented according to an Implementation Contract. The agreement already included the contract value of three projects for a total of EUR 625 million, which we report as the commitment value in this entry. These three projects  are reported as allocations under this Commitment. In Source 1, the Minister of Economy Yulia Svyrydenko estimated that ""the cost of these projects will be over EUR 500 million."" In Source 3, a press release from the Austrian embassy to Lithuanian stated that their cost was 600 EUR million.",Financial & Economic Aid
"From the EUR 625 million commited in the Framework Agreement in ATF2, EUR 200 million are allocated to the construction and equipment of the National Children's Specialized Hospital ""Okhmatdyt."" Source of Aid 1, Appendix 2 specifies the Implementation Contract for this project. Financing will be available for a period of 48 months plus 10 years for repayment (maturity), after a grace period of 30 months (2.5 years), and the interest rate will be composed of the floating reference rate (EURIBOR) plus 1.25%. 

",Financial & Economic Aid
"From the EUR 625 million commited in the Framework Agreement in ATF2, EUR  350 million are allocated to construction and equipment of a modern University Clinic in the city of Kyiv. Source of Aid 1, Appendix 2 specifies the Implementation Contract for this project. Financing will be available for a period of 48 months plus 10 years for repayment (maturity), after a grace period of 30 months (2.5 years), and the interest rate will be composed of the floating reference rate (EURIBOR) plus 1.25%.

",Financial & Economic Aid
"From the EUR 625 million commited in the Framework Agreement in ATF2, EUR 75 million are allocated to construction and equipment of the National Rehabilitation Center of Ukraine in the city of Lviv. Source of Aid 1, Appendix 2 specifies the Implementation Contract for this project. Financing will be available for a period of 28 months plus 10 years for repayment (maturity), after a grace period of 30 months (2.5 years), and the interest rate will be composed of the floating reference rate (EURIBOR) plus 1.25%.

",Financial & Economic Aid
"Austrian Association of Municipalities (Österreichischer Gemeindebund) provides the aid. Since this organisation unites almost all municipalities of Austria (2.084 of 2.095), we consider this organisation to be governmental and thus, this package is bilateral aid. The number and type of vehicle are specified in Source of Aid 2.",Artillery & Heavy Weapons
"Austrian Association of Municipalities (Österreichischer Gemeindebund) provides the aid. Since this organisation unites almost all municipalities of Austria (2.084 of 2.095), we consider this organisation to be governmental and thus, this package is bilateral aid. The number and type of vehicle are specified in Source of Aid 2.",Artillery & Heavy Weapons
"Austrian Association of Municipalities (Österreichischer Gemeindebund) provides the aid. Since this organisation unites almost all municipalities of Austria (2.084 of 2.095), we consider this organisation to be governmental and thus, this package is bilateral aid. The number and type of vehicle are specified in Source of Aid 2.",Artillery & Heavy Weapons
"In November 2022 Austrian Embassy in the US created a webpage listing all aid provided to Ukraine (Source of Aid 1). Among other things listed, there is a monetary value of all in-kind humanitarian assistance (6 million EUR). This information was rarely available so far, so we only managed to capture the first big package (see ATH1). So, to cover the rest, we subtract the value of the previous package(ATH1) and report it in this entry.",Financial & Economic Aid
"In November 2022 Austrian Embassy in the US created a webpage listing all aid provided to Ukraine (Source of Aid 1). Among other things listed, the list provides information regarding the monetary value of winterisation aid for Ukraine. We assume this aid was provided recently to the date of the publication since the demand for such a type of aid only occurred after a massive missile strike in October 2022.",Air Defense
"In November 2022 Austrian Embassy in the US created a webpage listing all aid provided to Ukraine (Source of Aid 1). Among other things listed, the list includes information regarding emergency vehicles provided to Ukraine. Since some emergency vehicles were reported in ATH2 and ATH3, we report the rest of them here. ",Artillery & Heavy Weapons
"In November 2022 Austrian Embassy in the US created a webpage listing all aid provided to Ukraine (Source of Aid 1). Among other things listed, the list includes information regarding emergency vehicles provided to Ukraine. Since some emergency vehicles were reported in ATH2 and ATH3, we report the rest of them here. ",Artillery & Heavy Weapons
"The official press release of the Ministry of Foreign Affairs of Austria reports that the total humanitarian aid provided to Ukraine and bordering countries is 87 million EUR (Source of Aid 1). Since we do not know how much of this went to Ukraine, we keep our value of humanitarian support up to this date which is EUR71.5 million.
",Financial & Economic Aid
Austria to transfer EUR 5 million to Ukraine Energy Support Fund.,Financial & Economic Aid
Source if Aid 1 mentioned that Austria is to provide EUR 10 million to Ukraine Energy Support Fund. Later official website of the fund mentioned that the contribution provided by Austria was EUR 10 million (Source of aid 2). ATH8 reported only 5 EUR million. We report the rest here.,Financial & Economic Aid
"On the 1st of February 2023, Wiener Zeitung reported that according to the president of Austria, Alexander Van der Bellen, Austria provided 118 EUR million of humanitarian support to Ukraine. (Source of aid 2). An official press release published later by the Austrian embassy to Lithuanian indicated that the total amount of aid slightly increased to 124 EUR million. In Source of Aid 4, the Ministry for European and International Affairs shows that EUR40 million out of the EUR124.6 million to Ukraine are financial aid, which is already reported in ATF1, 3 and 4. The remaining EUR84.6 million for humanitarian aid are close to what we previously captured in our dataset (EUR81.5 million). We add the difference of EUR3.1 million.",Financial & Economic Aid
"Austria will provide EUR 77.5 million in humanitarian assistance in its 2023 Foreign Disaster Relief Fund, according to Austrian Foreign Minister Alexander Schallenberg (Source of Aid 1). According to Source of Aid 2, EUR 18 million out of this will go to Ukraine.",Financial & Economic Aid
Four ambulances were sent to Uzhgorod by the federal state of Burgenland of the Republic of Austria. Since it's not a federal budget we report it separately.,Financial & Economic Aid
Austria finances demining equipment for Ukraine worth 2 EUR million.,Financial & Economic Aid
"According to Source of Aid 1, the Austrian government will provide the International Atomic Energy Agency (IAEA) with EUR 1 million to support nuclear safety activities in Ukraine. According to Source of Aid 4, Austria's support to Ukraine exceeded EUR 150 million, which comes close to our data.",Financial & Economic Aid
The Austrian government will provide the International Atomic Energy Agency (IAEA) with additional 1 EUR million to support nuclear safety activities in Ukraine. ,Financial & Economic Aid
"In Source 1, the Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation, and Technology submitted a request to the Council of Ministers to make a support payment of EUR 5 million to the Ukraine Energy Support Fund (UESF). The funds are drawn from the ministry's budget, they are intended for the reconstruction of Ukrainian energy infrastructure damaged by attacks.  Sources 2 and 3 confirm that the Council of Ministers released aid payments totalling five million euros to the UESF and that that allocation will be distributed by the Energy Community. Source 4 is a press release from the Energy Community that confirms a new pledge of EUR 5 million from the Austrian ministry for the UESF.",Financial & Economic Aid
"According to Source 1,  the Ministry of Foreign Affairs allocated EUR 10 million to humanitarian relief activities from its Foreign Disaster Fund (AKF). Of this, EUR 6 million is allocated to the Neighbour in Need for emergency relief NGOs, including the provision of drinking water, food, and emergency shelters.",Financial & Economic Aid
"According to Source 1,  the Ministry of Foreign Affairs allocated EUR 10 million to humanitarian relief activities from its Foreign Disaster Fund (AKF) Of this, EUR 2 million  is allocated to the International Committee of the Red Cross (ICRC),",Financial & Economic Aid
"According to Source 1, the Ministry of Foreign Affairs allocated EUR 10 million to humanitarian relief activities from its Foreign Disaster Fund (AKF) Of this, EUR 2 million is allocated to the United Nations High Commissioner for Refugees (UNHCR).",Financial & Economic Aid
