announcement_date,donor,aid_type_general,aid_type_specific,explanation,reporting_currency,source_reported_value,classified_category,date
2022-02-14,Canada,Financial,Loan,"In addition to the 120 million USD loan announced on January 21 (not reported in our dataset since it predates our data collection frame) Canada announced a 500 million CAD loan. This loan was announced on February 14, but was signed on April 14, as mentioned by ""Source of Aid 2"". It was provided through the Bretton Woods and Related Agreements Act (BWRAA). On April 9, 2022, the Ukraine Cabinet issued ""the Resolution on the implementation of public external borrowing in 2022"", stating  that maturity period of this loan is 10 years. This maturity period is confirmed by the tweet posted by the Ukranian Minister of Finance on April 13, 2022 (Source 3).",CAD,500000000.0,Financial & Economic Aid,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was comitted for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-17,Finland,Humanitarian,Assistance,"Finland provided 4 million EUR in additional support. Of this total amount, ""Source of Aid 1"" allows a more detailed differentiation. We do not count 1.5 million EUR that are devoted to strenghten human rights via the Council of Europe Action Programme and OSCE projects as well as further 0.5 million that are devoted to international organizations. Nevertheless, we count the remaining sum of 2 million EUR, as 1 million EUR is channelled to the Red Cross operating in Ukraine and the other 1 million EUR is for humanitarian aid.",EUR,2000000.0,Financial & Economic Aid,2022-02-17
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-18,Netherlands,Military,Weapons and equipment,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,7400000.0,Air Defense,2022-02-18
2022-02-21,EU (Commission and Council),Financial,Loan,"A new emergency Macro-Financial Assistance amounting to 1.2 billion EUR was adopted by the Commission on February 1, 2022 (to be disbursed in two equal tranches of 600 million EUR). We don't report the aid provided by the MFA in the context of the Covid-19 pandemic, nor MFA I, MFA II, MFA III or MFA IV, because they are unrelated to Russia's aggression and are prior to January 24, 2022. According to Source of Aid 4, the loans shall have a maximum average maturity of 15 years.",EUR,1200000000.0,Financial & Economic Aid,2022-02-21
2022-02-23,United Kingdom,Financial,Loan,"500 million GBP in loans to support Ukraine in response of Russia's aggression. We do not report in our dataset the 3.5 billion GBP committed prior to January 24, 2022.",GBP,500000000.0,Financial & Economic Aid,2022-02-23
2022-02-24,Italy,Humanitarian,Contribution,"Grant with humanitarian purposes to the International Red Cross activities in Ukraine. According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",EUR,1000000.0,Artillery & Heavy Weapons,2022-02-24
2022-02-24,Ireland,Humanitarian,Assistance,"According to Source of Aid 1, the government announced the dispatchment of humanitarian assistance worth 10 million EUR without providing further information regarding the shipment. According to Source of Aid 2, this package was finally worth EUR 20 million. EUR 1 million has been earmarked for UNHCR’s response to refugees in Poland and Moldova respectively. Therefore, we add EUR 19 million aid for Ukraine.",EUR,19000000.0,Artillery & Heavy Weapons,2022-02-24
2022-02-24,Croatia,Humanitarian,Equipment,"Goods and equipment that will be provided from the available stockpiles of the Ministry of the Interior, the Ministry of Economy and Sustainable Development, the Ministry of Health, the Ministry of Foreign and European Affairs, and the Croatian Fire Service.",HRK,9100000.0,Financial & Economic Aid,2022-02-24
2022-02-24,Poland,Financial,Swap-line,"The Polish central bank extended a currency swap line of 1 billion USD to the Ukrainian Central Bank, allowing it to draw dollar funds. This is akin to a standing credit line, i.e. a loan (see corresponsing paper for further explanations). The swap line was extended on April 6th, 2023, for another year.",USD,1000000000.0,Financial & Economic Aid,2022-02-24
2022-02-24,Czechia,Humanitarian,Assistance,"Release of 300 million CZK for humanitarian assistance. These funds will be used for the immediate needs of the civilian population of Ukraine, especially medical supplies and medical capacities, and for needs related to forced displacement (i.e. emergency accommodation, provision of drinking water, food, other basic material needs and health care). ""Source of Aid 1"" lists additional sources reported in CZH1-CZH4 and in CZM6-CZM11.",CZK,300000000.0,Financial & Economic Aid,2022-02-24
2022-02-25,France,Financial,Loan,"Loan announced on February 25 and granted on March 28. According to a resolution issued by the Ukrainian Cabinet (Source 3), the condition of this loan is 15-year maturity period, 5-year grace period and 1.04 % annual interest rate. The mentioned equipment in ""Source of Aid 2"" refers to FRM1. ""Source of Aid 4"" specifies that the loan is made by the French Development Agency",EUR,300000000.0,Financial & Economic Aid,2022-02-25
2022-02-25,United States,Military,Weapons and Equipment,4th presidential drawdown amounting to USD 350 million for the provision of various military weapons. ,USD,350000000.0,Financial & Economic Aid,2022-02-25
2022-02-26,Netherlands,Military,Weapons and equipment,"New military aid package. Source of aid 2 states that until April 2022, the Netherlands delivered 65 EUR billion worth of aid. We assume that the difference between the aid recorded until this entry is the value of the package.",USD,57600000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Belgium,Military,Weapons,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,76000000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Belgium,Military,Weapons,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,76000000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Belgium,Military,Equipment,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,76000000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Netherlands,Military,Weapons and equipment,"New military aid package. Source of aid 2 states that until April 2022, the Netherlands delivered 65 EUR billion worth of aid. We assume that the difference between the aid recorded until this entry is the value of the package.",USD,57600000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Belgium,Military,Equipment,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,76000000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Czechia,Military,Weapons,152mm artillery ammunition for different howitzers and self-propelled guns for a total of 36.6 million CZK.,CZK,36600000.0,Artillery & Heavy Weapons,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Netherlands,Military,Weapons and equipment,"New military aid package. Source of aid 2 states that until April 2022, the Netherlands delivered 65 EUR billion worth of aid. We assume that the difference between the aid recorded until this entry is the value of the package.",USD,57600000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Czechia,Military,Weapons,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,188106550.0,Ground Combat,2022-02-26
2022-02-26,Belgium,Military,Equipment,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,76000000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Belgium,Military,Equipment,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,76000000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Belgium,Military,Weapons,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,76000000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Netherlands,Military,Weapons and equipment,"New military aid package. Source of aid 2 states that until April 2022, the Netherlands delivered 65 EUR billion worth of aid. We assume that the difference between the aid recorded until this entry is the value of the package.",USD,57600000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Belgium,Military,Equipment,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,76000000.0,Financial & Economic Aid,2022-02-26
2022-02-26,Slovenia,Humanitarian,Equipment,"Material assistance worth 163,000 EUR, consisting mostly of medical equipment. The aid package falls within the framework of the EU Civil Protection Mechanism (UCPM). Our dataset previously did not include the 1.1 million EUR aid package dispatched to the International Committee of the Red Cross (ICRC - 100,000 EUR), to the United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA - 400,000 EUR), to the United Nations High Commissioner for Refugees (UNHCR - 400,000 EUR) and to Caritas Internationalis (200,000 EUR), since it was not considered as direct donations to Ukraine. Now we report them in the entries below.",EUR,163000.0,Financial & Economic Aid,2022-02-26
