activity_id,announcement_date,donor,explanation,reporting_currency,measure,source_reported_value_EUR
EEM3,2022-02-09,Estonia,"Estonia, in cooperation with Germany, built and delivered a field hospital to Ukraine. Germany contributed to the cooperation project by donating 5.3 million euros, for the purchase of a field hospital. Estonian Defence Forces will organise a 13-day training course for Ukrainian military medical instructors. Germany will finance this items that will be then produced in Estonia by an Estonian firm, Semetron.",EUR,Allocation,0.0
CAM5,2022-02-14,Canada,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was comitted for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,Allocation,7000000.0
CAF1,2022-02-14,Canada,"In addition to the 120 million USD loan announced on January 21 (not reported in our dataset since it predates our data collection frame) Canada announced a 500 million CAD loan. This loan was announced on February 14, but was signed on April 14, as mentioned by ""Source of Aid 2"". It was provided through the Bretton Woods and Related Agreements Act (BWRAA). On April 9, 2022, the Ukraine Cabinet issued ""the Resolution on the implementation of public external borrowing in 2022"", stating  that maturity period of this loan is 10 years. This maturity period is confirmed by the tweet posted by the Ukranian Minister of Finance on April 13, 2022 (Source 3).",CAD,Allocation,350000000.0
FIH1,2022-02-17,Finland,"Finland provided 4 million EUR in additional support. Of this total amount, ""Source of Aid 1"" allows a more detailed differentiation. We do not count 1.5 million EUR that are devoted to strenghten human rights via the Council of Europe Action Programme and OSCE projects as well as further 0.5 million that are devoted to international organizations. Nevertheless, we count the remaining sum of 2 million EUR, as 1 million EUR is channelled to the Red Cross operating in Ukraine and the other 1 million EUR is for humanitarian aid.",EUR,Allocation,2000000.0
EEM1,2022-02-18,Estonia,Estonia donated Javelin anti-tank missiles to Ukraine. Source 2 states that Estonia donated a total of 50 Javelin missiles. ,USD,Allocation,3627000.0
NLM1,2022-02-18,Netherlands,"Military equipment, equipment for protection (such as helmets, vests, detectors and radar systems) and lethal weapons such as rifles and ammunitions. ""Source of Aid 3"" mentions that the Minister of Foreign Affairs quantifies this package to about 7.4 million EUR. ",EUR,Allocation,7400000.0
EUF1,2022-02-21,EU (Commission and Council),"A new emergency Macro-Financial Assistance amounting to 1.2 billion EUR was adopted by the Commission on February 1, 2022 (to be disbursed in two equal tranches of 600 million EUR). We don't report the aid provided by the MFA in the context of the Covid-19 pandemic, nor MFA I, MFA II, MFA III or MFA IV, because they are unrelated to Russia's aggression and are prior to January 24, 2022. According to Source of Aid 4, the loans shall have a maximum average maturity of 15 years.",EUR,Commitment,1200000000.0
SKM1,2022-02-21,Slovakia,"Military items, including five demining sets.",EUR,Allocation,1700000.0
ROH1,2022-02-22,Romania,"Medical equipment, including packs of analgesics, anti-inflammatory medicines, antibiotics, and hand disinfectants. The donation falls within the framework of the EU Civil Protection Mechanism (UCPM). No further information regarding the shipment has been disclosed. ",USD,Allocation,498697.0
LTH1,2022-02-23,Lithuania,Shipment of first necessity items and equipment. The donations fall within the framework of the EU Civil Protection Mechanism (UCPM). No further information regarding the shipment has been disclosed. ,EUR,Allocation,1800000.0
UKF4,2022-02-23,United Kingdom,"500 million GBP in loans to support Ukraine in response of Russia's aggression. We do not report in our dataset the 3.5 billion GBP committed prior to January 24, 2022.",GBP,Allocation,580000000.0
HRH1,2022-02-24,Croatia,"Goods and equipment that will be provided from the available stockpiles of the Ministry of the Interior, the Ministry of Economy and Sustainable Development, the Ministry of Health, the Ministry of Foreign and European Affairs, and the Croatian Fire Service.",HRK,Allocation,1183000.0
ITH1,2022-02-24,Italy,"According to the Ukraine support overview page on the Italian Ministry of Foreign Affairs and International Cooperation website (Source 1), the Italian government provided €300 million to UNHCR to support internally displaced persons (IDPs) in Ukraine through the ""Fondo Premialità."" Since no official announcement related to this aid has been found, we are unable to determine the exact date of the commitment. However, a remark in the 2023 G7 Summit Progress Report (Source 2) notes that ""Before the beginning of the war, Italy committed EUR 3 million to Ukraine through a specific repatriation fund (“Fondo Premialità”) for assisted repatriations through UNHCR."" Based on this, we assume that the aid was committed no later than February 24, 2024.",EUR,Allocation,3000000.0
ITH2,2022-02-24,Italy,"Grant with humanitarian purposes to the International Red Cross activities in Ukraine. According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",EUR,Allocation,1000000.0
IEH1,2022-02-24,Ireland,"According to Source of Aid 1, the government announced the dispatchment of humanitarian assistance worth 10 million EUR without providing further information regarding the shipment. According to Source of Aid 2, this package was finally worth EUR 20 million. EUR 1 million has been earmarked for UNHCR’s response to refugees in Poland and Moldova respectively. Therefore, we add EUR 19 million aid for Ukraine.",EUR,Allocation,19000000.0
PLF1,2022-02-24,Poland,"The Polish central bank extended a currency swap line of 1 billion USD to the Ukrainian Central Bank, allowing it to draw dollar funds. This is akin to a standing credit line, i.e. a loan (see corresponsing paper for further explanations). The swap line was extended on April 6th, 2023, for another year.",USD,Allocation,930000000.0
CZH1,2022-02-24,Czechia,"Release of 300 million CZK for humanitarian assistance. These funds will be used for the immediate needs of the civilian population of Ukraine, especially medical supplies and medical capacities, and for needs related to forced displacement (i.e. emergency accommodation, provision of drinking water, food, other basic material needs and health care). ""Source of Aid 1"" lists additional sources reported in CZH1-CZH4 and in CZM6-CZM11.",CZK,Allocation,12600000.0
ATH1,2022-02-25,Austria,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",USD,Allocation,1098868.0
FRF2,2022-02-25,France,"Loan announced on February 25 and granted on March 28. According to a resolution issued by the Ukrainian Cabinet (Source 3), the condition of this loan is 15-year maturity period, 5-year grace period and 1.04 % annual interest rate. The mentioned equipment in ""Source of Aid 2"" refers to FRM1. ""Source of Aid 4"" specifies that the loan is made by the French Development Agency",EUR,Allocation,300000000.0
TRH1,2022-02-26,Turkiye,"Turkiye has reportedly provided a Humanitarian Aid convoy to Ukraine, carrying 1.536 food packages, 240 family tents, 1.680 blankets, 200 beds and 18 general purpose tents.",USD,Allocation,230669.0
SKM3,2022-02-26,Slovakia,"Unknown number of liters of fuel and rounds of ammunitions, for a total value of 11 million EUR.",EUR,Allocation,11000000.0
NLM2,2022-02-26,Netherlands,"New military aid package. Source of aid 2 states that until April 2022, the Netherlands delivered 65 EUR billion worth of aid. We assume that the difference between the aid recorded until this entry is the value of the package.",USD,Allocation,53568000.0
CZM2,2022-02-26,Czechia,"Weapons and ammunitions of various types, including pistols, machine guns, submachine guns and sniper rifles.",CZK,Allocation,7900475.100000001
PTM1,2022-02-26,Portugal,"The Portuguese government announced to provide military equipment consisting of ballistic vests, helmets, night vision goggles, grenades, and ammunition of different calibres, complete portable radios, analogue repeaters and G3 automatic rifles. According to UNROCA data (Source of Aid 4), 28 Browning M2 HB machine guns have been delivered in 2022. According to UNROCA data (Source of Aid 4), 1000 G-3 rifles have been delivered in 2022.",USD,Allocation,2836899.0
BEM1,2022-02-26,Belgium,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1).",EUR,Allocation,76000000.0
CZM1,2022-02-26,Czechia,152mm artillery ammunition for different howitzers and self-propelled guns for a total of 36.6 million CZK.,CZK,Allocation,1537200.0
SIH1,2022-02-26,Slovenia,"Material assistance worth 163,000 EUR, consisting mostly of medical equipment. The aid package falls within the framework of the EU Civil Protection Mechanism (UCPM). Our dataset previously did not include the 1.1 million EUR aid package dispatched to the International Committee of the Red Cross (ICRC - 100,000 EUR), to the United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA - 400,000 EUR), to the United Nations High Commissioner for Refugees (UNHCR - 400,000 EUR) and to Caritas Internationalis (200,000 EUR), since it was not considered as direct donations to Ukraine. Now we report them in the entries below.",EUR,Allocation,163000.0
SIH4,2022-02-26,Slovenia,"Contribution to Caritas Internationalis (200,000 EUR)",EUR,Allocation,200000.0
SIH2,2022-02-26,Slovenia,"Contribution to the United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA - 400,000 EUR), 200,000 of which is to the Ukraine Humanitarian Fund, according to the Financial Tracking Service of UN OCHA and the rest to the OCHA itself for coordinating tasks",EUR,Allocation,400000.0
SIH3,2022-02-26,Slovenia,"Contribution to the United Nations High Commissioner for Refugees (UNHCR - 400,000 EUR)",EUR,Allocation,400000.0
ESH1,2022-02-26,Spain,"Spain's Ministry of Foreign Affairs sent 20 tons of personal protective equipment and medical supplies worth 150,000 EUR (masks; gloves; medical protection suits; helmets; flak jackets; NBC protection waistcoats). The assistance falls within the framework of the EU Civil Protection Mechanism (UCPM). This mechanism organizes logistics for donations and covers some of the transportation cost. Thus, we do not include the 10,000 EUR spent in transport, cited by ""Source of Aid 1"", since this expense is covered by the EU Civil Protection Mechanism.",EUR,Allocation,150000.0
CZM3,2022-02-27,Czechia,"Lethal and non-lethal items, worth 400 million CZK. ""Source of Aid 3"" speaks of 188 million CZK, reported in CZM2.",CZK,Allocation,16800000.0
SIH5,2022-02-27,Slovenia,Humanitarian contribution of 100.000 EUR to the International Committee of the Red Cross in Ukraine. ,EUR,Allocation,100000.0
ROM1,2022-02-27,Romania,"Tranche of military equipment worth 3 million EUR, consisting of fuels, bulletproof vests, helmets, ammunition and military equipment, food, water and medicines. We don't include in our dataset the aid directed to Ukrainian refugees in Romania, listed in ""Source of Aid 1"", ""Source of Aid 2"" and ""Source of Aid 3"".",EUR,Allocation,3000000.0
EUM1,2022-02-27,European Peace Facility,"The European Peace Facility (EPF) is an off-budget instrument to fund emergency assistance measures. It has a regulated annual budget. In view of the Russia-Ukraine war, the EU commission decided to increase the budget of this mechanism by 450 Million EUR for military equipment designed to deliver lethal force and 50 Million EUR to finance supply such as fuel and protective equipment. Under the EPF, member countries can be reimbursed for both lethal and non-lethal military equipment they have sent to Ukraine since the beginning of this year. There exists neither an extensive list on what was sent to Ukraine by the countries that were reimbursed by this facility, nor any information whether the entire 500 Million EUR have been claimed.",EUR,Commitment,500000000.0
HUH1,2022-02-27,Hungary,"First necessity equipment, gasoline, and diesel. The 1 million EUR directed to the Ecumenical Humanitarian Organization and reported by ""Source of Aid 1"" is not included in the dataset because it is not a sovereign to sovereign flow. Aid to refugees is not considered either since it is not directed to Ukraine.",USD,Allocation,185032.0
FIM1,2022-02-27,Finland,"According to ""Source of Aid 2"", the Ministry of Defense stated that the total value of military support that Finland sent to Ukraine until May 4 amounts to 29.3 million EUR. We document four announcements from the Ministry of Defense until this date. This sum includes two packages from February 27 and 28 (where information on the content of the shipment was provided). The two further announcements, from March 24 and April 19, include no further information regarding the content or value of the shipment. Note that ""Source of Aid 3"" from the package announced on February 27 also lists aid from Sweden (5,000 anti-tank weapons, 5,000 helmets, 5,000 body armors and 135,000 field rations), reported in SEM1, and a package of 500 million EUR from the European Union, reported in EUM1. According to the Source of Delivery, Finland delivered military aid worth 160 million EUR, which includes donation IDs FIM1, FIM3, FIM4, FIM7.",EUR,Allocation,29300000.0
JPH1,2022-02-27,Japan,"Decided on in February 27, disbursed On March 11, the Government of Japan decided to extend 100 million US dollars in emergency humanitarian assistance to assist the people of Ukraine who are facing hardship in Ukraine and neighboring countries. $59.3 million are allocated directly to Ukraine, which is the amount we report here.",USD,Allocation,55149000.0
USH1,2022-02-27,United States,"The aid, almost equally funded by the Department of State (26 million USD) and the U.S. Agency for International Development (28 million USD) amounts to 54 million USD. No further information regarding the involved international organizations has been disclosed.",USD,Allocation,50220000.0
SEM1,2022-02-27,Sweden,"5,000 anti-tank weapons, 5,000 helmets, 5,000 body shields and 135,000 field rations of a value of 400 million SEK. ""Source of Aid 1"" also lists the 500 million SEK assistance to the Ukranian army reported in SEM2, and the 500 million SEK humanitarian assistance reported in SEH3.",SEK,Allocation,35200000.0
ITF1,2022-02-27,Italy,Grant worth 110 million EUR.,EUR,Allocation,110000000.0
SEM2,2022-02-27,Sweden,"Financial grant directed to the Armed Forces of Ukraine. ""Source of Aid 1"" also lists the aid package reported in SEM1 (military equipment worth 400 million SEK).",SEK,Allocation,44000000.0
UKH1,2022-02-27,United Kingdom,Humanitarian assistance via equipment and grants.,GBP,Allocation,46400000.0
SKM2,2022-02-27,Slovakia,"Military equipment worth 4.5 million EUR (see ""Source of Aid 2""). It contains 486 anti-tank missiles and anti-tank rockets, along with 100 air defense launchers (see ""Source of Aid1"" or ""Source of Aid 3"").",EUR,Allocation,4500000.0
CAM6,2022-02-27,Canada,"The Government of Canada announced a donation of defensive military aid, including night vision gear, helmets, and body armor. Source of Aid 2 specifies that in total, Canada provided non-lethal equipment worth 15 CAD million. Since CAM2 reported only 3 CAD million, we assume that the rest went here. Donation from March 1 from Source of Aid 1 lists the number of ballistic vests donated. Please note that intermediate estimation of the Canadian government suggested that the total value of non-lethal equipment provided was 25 CAD million (Source of aid 3), but we use the most recent information here updated by the same Canadian government.",CAD,Allocation,8400000.0
LTH2,2022-02-28,Lithuania,"The Lithuanian government approved a medical aid package to Ukraine worth 4 million EUR. According to ""Source of Aid 1"", it includes ""medication, face masks, surgical kits, bandages, surgery gowns, various kits to stop bleeding and treat bone fractures, as well as burn wounds"". Particular amounts remain undisclosed.",EUR,Allocation,4000000.0
NZH2,2022-02-28,New Zealand,"The funding of NZD 2 million will support to the United Nations’ Ukraine Humanitarian Fund. The fund works with a range of UN agencies and NGOs to meet the most urgent unmet humanitarian needs through the provision of healthcare, food aid, clean water, shelter and other humanitarian assistance for millions of people inside Ukraine. Source of Aid 1 mentions NZD 8 million in humanitarian aid. Of these, we only count NZD 4 million in total (NZH1, NZH2), as NZD 2 million will be given to an NGO in New Zealand and NDZ 2 million will be given to the UN Refugee Agency, both times not directly benefitting Ukraine. ",NZD,Allocation,1180000.0
ITM1,2022-02-28,Italy,"Since February 2022, Italy has sent an undisclosed number of lethal and non-lethal weapons to Ukraine, worth a total of 150 million EUR according to a statement of the Italian Ministry of Defense. Also, ""Source of Aid 3"" reports that 50 million EUR are accountable to the equipment material, while the remainder is related to major and minor weapons. The Italian government has not disclosed the full list, but, thanks to a leak published by “Il Fatto Quotidiano”, Italy has sent an undisclosed number of Stinger launchers, millions of rounds of ammunition caliber 12.7, thousands of mortar bombs, Browning machine guns, thousands of helmets, Milan launchers and thousands of food rations. ""Source of Aid 1"" reports also aid for refugees, which we don't report in our dataset because it is not a flow directed to Ukraine. ""Source of Aid 2"" lists also the aid package reported in ITF1 (110 million EUR).",EUR,Allocation,150000000.0
NZH1,2022-02-28,New Zealand,The funding will support health facilities on the ground and provide basic needs like food and hygiene items.,NZD,Allocation,1180000.0
CAM7,2022-02-28,Canada,"The Government of Canada announced the donation of at least 100 anti-armour weapons systems - Carl Gustav M2 recoilless rifles, and 2000 rounds of 84 mm ammunition.",CAD,Allocation,8400000.0
NOM1,2022-02-28,Norway,"Source of Aid 1 reports that Norway is to provide Ukraine with 2,000 M72 LAWs (portable anti-armor weapons). Source of Aid 2 also mentions that Norway is donating 1,500 bulletproof vests, 5,000 helmets, 15,000 field rations, 1,000 protective masks with filters, 2,000 sleeping bags, 10,000 sleeping mats, and clothing to Ukraine.",USD,Allocation,10909272.0
KOH1,2022-02-28,South Korea,"The aid package consists of humanitarian in-kind donations. There exists no list of specific items included in this package, while the total value of the package was indicated by the donor.",USD,Allocation,9300000.0
LUM2,2022-02-28,Luxembourg,"Luxembourg bought 200 rounds of ammunition for BM-21 Grad from an undisclosed EU country to give Ukraine, Luxembourg Defence Minister François Bausch says. Source of aid 1 specifies that more GRAD missles were bought in 2022, and therefore we increase the number here.",USD,Allocation,558000.0
ISH1,2022-02-28,Iceland,"According to Source of Aid 1, Iceland announced 145 ISK million in humanitarian aid for Ukraine, evenly divided between the International Red Cross (ICRC), the United Nations Coordination Office for Humanitarian Affairs (OCHA) and the United Nations High Commissioner for Refugees (UNHCR). This entry reports the funds given through the ICRC",ISK,Allocation,328666.6666666667
ISH2,2022-02-28,Iceland,"According to Source of Aid 1, Iceland announced 145 ISK million in humanitarian aid for Ukraine, evenly divided between the International Red Cross (ICRC), the United Nations Coordination Office for Humanitarian Affairs (OCHA) and the United Nations High Commissioner for Refugees (UNHCR). This entry reports the funds given through the UN OCHA.",ISK,Allocation,328666.6666666667
ISH3,2022-02-28,Iceland,"According to Source of Aid 1, Iceland announced 145 ISK million in humanitarian aid for Ukraine, evenly divided between the International Red Cross (ICRC), the United Nations Coordination Office for Humanitarian Affairs (OCHA) and the United Nations High Commissioner for Refugees (UNHCR). This entry reports the funds given through the UNHRC",ISK,Allocation,328666.6666666667
LUM1,2022-02-28,Luxembourg,"Following ""Source of Aid 1"", Luxembourg's defense minister stated on April 25 that the country has provided 50 million EUR in military and financial support to Ukraine until this date. As the government does not provide a detailed breakdown of the total amount (see ""Source of Aid 1""), we report the total as military support. Here, we list the two announcements that belong to this 50 million EUR package. First, on February 28 it was announced that Luxembourg would send lethal weapons and equipment. We do not include the military equipment provided to NATO since this is not a direct flow into Ukraine (i.e. not a sovereign-to-sovereign flow). For the same reson, we do not include Luxembourg's contribution to the European funding of 250 million EUR, which refers probably to the EU Civil Protection Mechanism (see ""Source of Aid 2"" and ""Source of Aid 3"" of the package from February 28). Second, the minister of defense stated on March 28 that Luxembourg sent more than what is listed above, including protective vests and gas masks. Source of aid 4, published at the end of 2022, specifies what was delivered, and even though we cannot track when each particular item was delivered, we assume that all of them, except GRAD missiles, were committed in the biggest package.",EUR,Allocation,50000000.0
TWH1,2022-02-28,Taiwan,"27 tons of medical supplies were delivered to Ukraine on February 28th, 2022 , a white paper from the Taiwanese federal government revealed after almost 2 years.",USD,Allocation,251100.0
HRM1,2022-02-28,Croatia,Protective military equipment and infantry weapons. No further information regarding the shipment has been disclosed.  ,HRK,Allocation,16120000.0
AUM1,2022-02-28,Australia,Australia contributed USD 3 million to NATO'S Trust Fund for Ukraine to support non-lethal military equipment and medical supplies.,USD,Allocation,2790000.0
CAH2,2022-03-01,Canada,"Emergency health services (including trauma care), protection, support to displaced people, and essential life-saving services such as shelter, water, sanitation, and food. The aid is directed to those affected by the conflict in Ukraine and neighboring countries. We do not consider aid directed to international organisations that are not explicitly active in Ukraine.",CAD,Allocation,35000000.0
ROH2,2022-03-01,Romania,"Subsistence material worth 5 million EUR. We don't include in our dataset the 30 tons of humanitarian assistance provided through private donations, since it doesn't represent aid coming directly from the Romanian government. ",RON,Allocation,1000000.0
CAM8,2022-03-01,Canada,"The Government of Canada announced the donation of 390,000 Individual Meal Packs, and approximately 1600 fragmentation vests. Fragmentation vests are included in CAM4. Source of aid 3 specifies that in total, this donation is worth 10 CAD million.",CAD,Allocation,7000000.0
EUH1,2022-03-01,EU (Commission and Council),"The entire announced support package for Ukraine and its neighboring countries is 500 million EUR, according to ""Source of Aid 1"". Since this sum is for refugees outside of Ukraine as well, we need to disentangle it into the disclosed sums and purposes to attribute the correct amount. ""Source of Aid 2"" mentions that over 93 million EUR have been made available so far for humanitarian aid. From these 93 million EUR, the Commission states that 85 million EUR will be given to Ukraine directly as Humanitarian Aid to help provide food, water, shelter and other basic needs to the people affected by the war, while 8 million EUR were devoted to Moldova (which we dont count since it not direct bilateral aid to Ukraine). Moreover, ""Source of Aid 2"" mentions that 330 million EUR are contributed via an Emergency Support Program for the people in Ukraine. It helps dealing with physical and psychological trauma and provides goods for basic needs as well as access to healthcare and education. Hence, we can disentangle the total sum of 500 million EUR for Ukraine and neighboring countries such that we attribute 415 million EUR out of the 500 million EUR total package (330 million + 85 million EUR) for Ukraine. The 8 million EUR for Moldova are not counted. ",EUR,Allocation,415000000.0
FRH1,2022-03-01,France,"France has provided almost 100 million EUR in humanitarian assistance to Ukraine. The assistance also includes the shipment of emergency aid. The first tranche of material aid was sent on the February 28 and consisted of four trucks carrying an initial shipment of 33 tons of emergency aid with items such as blankets, tents and medical supplies (500 family tents, 2,300 blankets, 1,000 hygiene kits, 2,000 floor mats and 300 sleeping bags). A second shipment was sent on March 1, consisting of eight tons of medical supplies, including a mobile clinic with medicines and hospital equipment capable of treating up to 500 war-wounded. The assistance falls within the framework of the EU Civil Protection Mechanism (UCPM).",EUR,Allocation,100000000.0
KOM1,2022-03-01,South Korea,"South Korea has announced to support Ukraine with 1 billion KRW (800,000 USD) of non-lethal military equipment, such as bulletproof helmets and medical kit. There exists no list of specific items included in this package, while the total value of the package was indicated by the donor.",USD,Allocation,744000.0
UKH2,2022-03-01,United Kingdom,"Humanitarian assistance via equipment and grants. Out of the 80 million GBP reported in ""Source of Aid 1"" we do not count 40 million GBP, since they have been allocated to international organisations which are not explicitly active in Ukraine (see ""Source of Aid 3""). The 120 million GBP reported in ""Source of Aid 1"" are made out of the 80 million GBP (out of which we don't count the 40 million GBP to international organisations) reported in ""Source of Aid 1"", and of the the 40 million GBP in UKH1.",GBP,Allocation,46400000.0
AUH1,2022-03-01,Australia,"Australia has committed immediate humanitarian assistance of an initial 35 million AUD to help meeting the urgent needs of the Ukrainian people. This assistance will deliver lifesaving services and supplies, including the provision of shelter, food, medical care and water.",AUD,Allocation,22400000.0
CZM8,2022-03-01,Czechia,"Equipment, ballistic protection, opticsal and other small material to Ukraine for a total of 53.26 million crowns. ""Source of Aid 1"" lists additional donations reported in CZH1-CZH4, CZM1-CZM4, CZM6, CZM7 and in CZM9-CZM12.",CZK,Allocation,2236920.0
LVH1,2022-03-01,Latvia,"Broad aid package covering various areas, ranging from support to Ukrainian media to support for international organizations working in Ukraine. Since we cannot disentangle the part of the aid dispatched to Ukrainian media from the part of the aid dispatched to international organizations, we apply our upper bound rule and report the entire package of 1.2 million EUR. We do not consider the 1.2 million sent through the European Peace Facility, since this is categorized as EU military aid. Source of Aid 4 later specified that part of this package went to NGOs or third-party countries, so it could not be considered bilateral aid.",EUR,Allocation,560000.0
AUM2,2022-03-01,Australia,"Australia has announced around 70 million AUD in lethal military assistance to support the defence of Ukraine, including missiles and weapons. They also provide a range of non-lethal military equipment and medical supplies in response to a specific request from the Ukrainian Government. No further information about the composition of the equipment was disclosed.",AUD,Allocation,44800000.0
